iter	MultiClass
0	1.471364904
1	1.300277556
2	1.226497946
3	1.134988548
4	1.065631247
5	0.9826794292
6	0.9060073504
7	0.8667569199
8	0.8362456097
9	0.7964343906
10	0.7539139292
11	0.7139540462
12	0.6780303417
13	0.6489145898
14	0.6230117701
15	0.6025020452
16	0.5852929304
17	0.5700423079
18	0.5333923036
19	0.5161516191
20	0.5023113001
21	0.4876114521
22	0.4663871833
23	0.4569273785
24	0.445289387
25	0.4304215047
26	0.4203289224
27	0.4112744522
28	0.4022654537
29	0.3915382506
30	0.3801063337
31	0.3712636657
32	0.3630658929
33	0.3500069891
34	0.3424829832
35	0.334131139
36	0.3282423321
37	0.3214059963
38	0.3111209265
39	0.3062562941
40	0.2964096396
41	0.2894705707
42	0.2841088584
43	0.278963636
44	0.2747575637
45	0.2693192213
46	0.2628319893
47	0.2566792979
48	0.2541123519
49	0.2511474124
50	0.2475317231
51	0.2433712624
52	0.2383048868
53	0.2346141635
54	0.2306629635
55	0.227319623
56	0.2244502664
57	0.2224330446
58	0.2175821855
59	0.2151832034
60	0.2130956358
61	0.209735198
62	0.2079566295
63	0.2044184015
64	0.2008693795
65	0.1973211463
66	0.1959390259
67	0.1940316162
68	0.1914264739
69	0.1897011554
70	0.1879409654
71	0.1858653075
72	0.183444526
73	0.1818600894
74	0.1799566273
75	0.1781563239
76	0.1763545691
77	0.1748900587
78	0.173548243
79	0.1727731515
80	0.1717317192
81	0.1697371179
82	0.1671600575
83	0.1651498117
84	0.1638901378
85	0.1618783991
86	0.1599606867
87	0.1591232312
88	0.157114313
89	0.1555764505
90	0.154850681
91	0.1536541517
92	0.1524092966
93	0.1517135841
94	0.1501040551
95	0.1492193258
96	0.1480740046
97	0.1468015392
98	0.1461459158
99	0.145203111
