iter	Passed	Remaining
0	30	3033
1	53	2625
2	74	2396
3	94	2263
4	114	2170
5	133	2083
6	152	2024
7	171	1975
8	191	1939
9	210	1890
10	229	1857
11	247	1815
12	265	1775
13	282	1736
14	301	1706
15	321	1687
16	340	1661
17	359	1636
18	378	1612
19	395	1583
20	415	1562
21	433	1538
22	454	1520
23	478	1516
24	499	1499
25	517	1472
26	535	1448
27	553	1422
28	572	1400
29	592	1382
30	612	1363
31	632	1343
32	651	1323
33	669	1300
34	687	1276
35	705	1253
36	723	1231
37	740	1208
38	758	1186
39	776	1164
40	795	1145
41	814	1124
42	832	1103
43	850	1082
44	868	1061
45	886	1040
46	903	1019
47	921	998
48	940	979
49	958	958
50	978	939
51	998	921
52	1017	902
53	1037	883
54	1056	864
55	1074	844
56	1092	824
57	1109	803
58	1127	783
59	1146	764
60	1164	744
61	1182	724
62	1202	706
63	1221	687
64	1241	668
65	1259	648
66	1278	629
67	1296	609
68	1313	590
69	1331	570
70	1349	551
71	1367	531
72	1387	513
73	1405	493
74	1427	475
75	1445	456
76	1463	437
77	1482	418
78	1500	398
79	1517	379
80	1535	360
81	1553	341
82	1571	321
83	1588	302
84	1606	283
85	1624	264
86	1642	245
87	1662	226
88	1680	207
89	1697	188
90	1715	169
91	1732	150
92	1750	131
93	1768	112
94	1786	94
95	1805	75
96	1824	56
97	1842	37
98	1862	18
99	1880	0
